"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.295410156E0,-5.493164062E-4,2.014160156E-3,-6.866455078E-4,2.197742410E-3
1.300415039E0,1.586914062E-3,9.460449219E-4,3.814697266E-4,1.886482544E-3
1.305419922E0,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
1.310424805E0,1.586914062E-3,-1.220703125E-4,-6.866455078E-4,1.733401124E-3
1.315429687E0,5.187988281E-4,9.460449219E-4,3.814697266E-4,1.144409180E-3
1.320434570E0,5.187988281E-4,9.460449219E-4,1.449584961E-3,1.807055555E-3
1.325408935E0,1.586914062E-3,9.460449219E-4,-6.866455078E-4,1.970984345E-3
1.330413818E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.335418701E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.340423584E0,-5.493164062E-4,9.460449219E-4,1.449584961E-3,1.816052331E-3
1.345428467E0,2.655029297E-3,-1.220703125E-4,3.814697266E-4,2.685069996E-3
1.350433349E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.355438232E0,5.187988281E-4,9.460449219E-4,-1.754760742E-3,2.059936523E-3
1.360443115E0,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
1.365447998E0,1.586914062E-3,-1.220703125E-4,3.814697266E-4,1.636678513E-3
1.370452881E0,1.586914062E-3,9.460449219E-4,-6.866455078E-4,1.970984345E-3
1.375457763E0,5.187988281E-4,2.014160156E-3,-6.866455078E-4,2.190313999E-3
1.380462646E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.385437012E0,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
1.390441894E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.395446777E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.400451660E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.405456543E0,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
1.410461426E0,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
